Community,Period,state_id,n_months,period_total_months,state_share
1,COVID,0,12,24,0.5
1,COVID,2,5,24,0.20833333333333334
1,COVID,6,2,24,0.08333333333333333
1,COVID,7,1,24,0.041666666666666664
1,COVID,16,2,24,0.08333333333333333
1,COVID,18,2,24,0.08333333333333333
1,Post-COVID,0,9,24,0.375
1,Post-COVID,2,4,24,0.16666666666666666
1,Post-COVID,5,3,24,0.125
1,Post-COVID,16,2,24,0.08333333333333333
1,Post-COVID,17,1,24,0.041666666666666664
1,Post-COVID,18,5,24,0.20833333333333334
1,Pre-COVID,0,5,24,0.20833333333333334
1,Pre-COVID,2,4,24,0.16666666666666666
1,Pre-COVID,6,12,24,0.5
1,Pre-COVID,16,2,24,0.08333333333333333
1,Pre-COVID,18,1,24,0.041666666666666664
10,COVID,0,4,24,0.16666666666666666
10,COVID,1,4,24,0.16666666666666666
10,COVID,2,2,24,0.08333333333333333
10,COVID,16,2,24,0.08333333333333333
10,COVID,17,10,24,0.4166666666666667
10,COVID,18,2,24,0.08333333333333333
10,Post-COVID,0,3,24,0.125
10,Post-COVID,1,5,24,0.20833333333333334
10,Post-COVID,2,2,24,0.08333333333333333
10,Post-COVID,6,3,24,0.125
10,Post-COVID,12,1,24,0.041666666666666664
10,Post-COVID,17,9,24,0.375
10,Post-COVID,18,1,24,0.041666666666666664
10,Pre-COVID,0,7,24,0.2916666666666667
10,Pre-COVID,1,3,24,0.125
10,Pre-COVID,2,2,24,0.08333333333333333
10,Pre-COVID,6,6,24,0.25
10,Pre-COVID,16,1,24,0.041666666666666664
10,Pre-COVID,17,4,24,0.16666666666666666
10,Pre-COVID,18,1,24,0.041666666666666664
11,COVID,0,7,24,0.2916666666666667
11,COVID,1,1,24,0.041666666666666664
11,COVID,2,2,24,0.08333333333333333
11,COVID,6,4,24,0.16666666666666666
11,COVID,12,2,24,0.08333333333333333
11,COVID,17,7,24,0.2916666666666667
11,COVID,18,1,24,0.041666666666666664
11,Post-COVID,0,11,24,0.4583333333333333
11,Post-COVID,1,2,24,0.08333333333333333
11,Post-COVID,2,5,24,0.20833333333333334
11,Post-COVID,5,1,24,0.041666666666666664
11,Post-COVID,12,1,24,0.041666666666666664
11,Post-COVID,17,4,24,0.16666666666666666
11,Pre-COVID,0,9,24,0.375
11,Pre-COVID,2,2,24,0.08333333333333333
11,Pre-COVID,6,5,24,0.20833333333333334
11,Pre-COVID,17,5,24,0.20833333333333334
11,Pre-COVID,18,3,24,0.125
12,COVID,0,10,24,0.4166666666666667
12,COVID,1,3,24,0.125
12,COVID,5,1,24,0.041666666666666664
12,COVID,6,2,24,0.08333333333333333
12,COVID,12,3,24,0.125
12,COVID,16,1,24,0.041666666666666664
12,COVID,17,4,24,0.16666666666666666
12,Post-COVID,0,4,24,0.16666666666666666
12,Post-COVID,1,6,24,0.25
12,Post-COVID,5,1,24,0.041666666666666664
12,Post-COVID,12,5,24,0.20833333333333334
12,Post-COVID,17,7,24,0.2916666666666667
12,Post-COVID,18,1,24,0.041666666666666664
12,Pre-COVID,0,6,24,0.25
12,Pre-COVID,1,4,24,0.16666666666666666
12,Pre-COVID,2,1,24,0.041666666666666664
12,Pre-COVID,12,4,24,0.16666666666666666
12,Pre-COVID,17,9,24,0.375
13,COVID,0,9,24,0.375
13,COVID,1,1,24,0.041666666666666664
13,COVID,2,2,24,0.08333333333333333
13,COVID,7,1,24,0.041666666666666664
13,COVID,12,1,24,0.041666666666666664
13,COVID,17,10,24,0.4166666666666667
13,Post-COVID,0,7,24,0.2916666666666667
13,Post-COVID,1,1,24,0.041666666666666664
13,Post-COVID,2,2,24,0.08333333333333333
13,Post-COVID,5,5,24,0.20833333333333334
13,Post-COVID,7,1,24,0.041666666666666664
13,Post-COVID,12,1,24,0.041666666666666664
13,Post-COVID,16,1,24,0.041666666666666664
13,Post-COVID,17,5,24,0.20833333333333334
13,Post-COVID,18,1,24,0.041666666666666664
13,Pre-COVID,0,15,24,0.625
13,Pre-COVID,2,2,24,0.08333333333333333
13,Pre-COVID,5,1,24,0.041666666666666664
13,Pre-COVID,17,6,24,0.25
14,COVID,0,11,24,0.4583333333333333
14,COVID,5,1,24,0.041666666666666664
14,COVID,6,2,24,0.08333333333333333
14,COVID,7,2,24,0.08333333333333333
14,COVID,9,1,24,0.041666666666666664
14,COVID,10,1,24,0.041666666666666664
14,COVID,16,2,24,0.08333333333333333
14,COVID,18,4,24,0.16666666666666666
14,Post-COVID,0,10,24,0.4166666666666667
14,Post-COVID,5,4,24,0.16666666666666666
14,Post-COVID,7,4,24,0.16666666666666666
14,Post-COVID,15,2,24,0.08333333333333333
14,Post-COVID,16,1,24,0.041666666666666664
14,Post-COVID,18,3,24,0.125
14,Pre-COVID,0,10,24,0.4166666666666667
14,Pre-COVID,2,1,24,0.041666666666666664
14,Pre-COVID,5,1,24,0.041666666666666664
14,Pre-COVID,6,2,24,0.08333333333333333
14,Pre-COVID,7,6,24,0.25
14,Pre-COVID,16,2,24,0.08333333333333333
14,Pre-COVID,18,2,24,0.08333333333333333
15,COVID,0,9,24,0.375
15,COVID,2,4,24,0.16666666666666666
15,COVID,7,6,24,0.25
15,COVID,16,3,24,0.125
15,COVID,18,2,24,0.08333333333333333
15,Post-COVID,0,12,24,0.5
15,Post-COVID,2,1,24,0.041666666666666664
