node_id,state_id,state_label,density,n_samples,period_majority,period_majority_share,community_majority,dominant_crime_majority,mean_year,mean_arrest_rate,mean_domestic_rate,mean_poverty_rate,mean_unemployment_rate,mean_median_household_income_approx
cube0_cluster0,11,State 11,765.4285331170712,136,Pre-COVID,0.6764705882352942,26,BATTERY,2019.2426470588234,0.35510582520931927,0.23233878685480408,0.3162461738364108,0.15837541293289087,35780.091835983825
cube31_cluster0,9,State 09,686.888363726489,83,Pre-COVID,0.8192771084337349,25,BATTERY,2018.8072289156626,0.23930524755795385,0.2702353610175678,0.26143177349496555,0.15323296434563358,41669.028420898714
cube58_cluster0,8,State 08,546.6091687727564,79,Post-COVID,0.8987341772151899,46,BATTERY,2022.506329113924,0.10878912238599164,0.2454210584698794,0.23789009046379123,0.13832696987054885,52695.08177203179
cube89_cluster0,13,State 13,489.1657167497838,82,Post-COVID,0.9634146341463414,38,MOTOR VEHICLE THEFT,2022.5365853658536,0.08416765604752638,0.20339132567403834,0.23014927665374682,0.13096239297195916,56022.01716441355
cube46_cluster0,9,State 09,480.68662081737637,61,Pre-COVID,0.819672131147541,61,BATTERY,2018.9344262295083,0.23680011576247506,0.25897371050364104,0.25689306694755426,0.1533605304527337,41891.369449466445
cube200_cluster0,17,State 17,477.42649832943863,80,Pre-COVID,0.4,8,THEFT,2020.2625,0.11708624151382038,0.10897479713468342,0.11338503186206166,0.05016674968566176,98098.07500116217
cube62_cluster0,9,State 09,462.7697101216423,61,Pre-COVID,0.8032786885245902,43,BATTERY,2018.9016393442623,0.21907865415848962,0.2547791171395452,0.24446495826154263,0.15077766782624621,42705.46643961312
cube202_cluster0,17,State 17,440.5511816230169,77,COVID,0.44155844155844154,32,THEFT,2020.5454545454545,0.09852318807814829,0.12067596692808719,0.11450055667389201,0.05502413512080534,94736.29754862942
cube155_cluster0,2,State 02,437.79966247419435,69,Pre-COVID,0.43478260869565216,16,THEFT,2019.927536231884,0.12373116774344033,0.17390700484860086,0.1397129066387693,0.06761871807053914,71396.00461478438
cube39_cluster0,14,State 14,427.466985252023,54,COVID,0.5925925925925926,43,BATTERY,2020.9444444444443,0.1425006735186998,0.2823155930925972,0.25358827331037037,0.14921913254144825,46012.70323850819
cube203_cluster0,17,State 17,423.38704828123383,72,Pre-COVID,0.4444444444444444,41,THEFT,2020.0833333333333,0.09870986263539663,0.1163320860211774,0.1225821171809387,0.05460463512367668,90630.57263682883
cube111_cluster0,7,State 07,418.98681092749877,66,COVID,0.4090909090909091,14,THEFT,2020.2272727272727,0.13402013738599658,0.22144047598719094,0.15307646810913975,0.085393667813674,64961.61866493839
cube117_cluster0,5,State 05,411.0396473197608,69,Post-COVID,0.6811594202898551,70,THEFT,2021.8695652173913,0.08853923059420389,0.20991564966106094,0.18248776101452435,0.09801824965534371,65095.35437323617
cube40_cluster0,14,State 14,410.5610582834208,56,COVID,0.5714285714285714,43,BATTERY,2021.267857142857,0.1239285109650946,0.2798325118204577,0.25418395777368386,0.14743815091977902,49052.54619282833
cube176_cluster0,17,State 17,401.3105911263348,67,Post-COVID,0.6119402985074627,21,THEFT,2021.6567164179105,0.08765414363071707,0.13411235369669713,0.12726138331559883,0.0635589688845818,85654.61744008175
cube63_cluster0,9,State 09,399.22345432676593,52,Pre-COVID,0.75,19,BATTERY,2018.8846153846155,0.20059916012098117,0.2613830441166829,0.22477194468194212,0.13287950828607833,45872.88554454036
cube143_cluster0,18,State 18,395.4896308937983,65,COVID,0.46153846153846156,28,THEFT,2020.0923076923077,0.11198567777667189,0.19244176919201197,0.15131768682619257,0.07509784263644134,71689.88776188831
cube144_cluster0,18,State 18,392.5211330343844,67,COVID,0.417910447761194,16,THEFT,2020.2238805970148,0.1112859079251414,0.19416381529620336,0.14091791795570924,0.06997112990726076,71704.2013319752
cube54_cluster0,14,State 14,383.3942851538631,53,COVID,0.5849056603773585,46,BATTERY,2021.0377358490566,0.12532163541895133,0.27764275931309246,0.25572029728256984,0.14265919324506568,47181.47038310187
cube55_cluster0,14,State 14,383.2555797253022,53,COVID,0.6037735849056604,43,BATTERY,2021.2641509433963,0.11471914819653302,0.28483916467310516,0.25623319625282115,0.14218570244172557,48321.83607341416
cube132_cluster0,5,State 05,377.04625087975535,66,Post-COVID,0.5303030303030303,33,THEFT,2021.5151515151515,0.09380335603753305,0.19566467871213405,0.18257971259035635,0.09369712414915186,67763.27552649198
cube86_cluster0,4,State 04,375.8023116838349,60,COVID,0.5333333333333333,58,BATTERY,2021.1333333333334,0.1105634736544451,0.2494374683214861,0.21879740561886868,0.1277218059542361,53689.5564854784
cube124_cluster0,16,State 16,366.74963808596294,57,Pre-COVID,0.5087719298245614,15,THEFT,2019.7543859649122,0.14551981494497288,0.20938236949951924,0.15669377467151988,0.07882958248484112,64739.09588688362
cube84_cluster0,15,State 15,349.4504221306586,51,COVID,0.5686274509803921,19,BATTERY,2020.921568627451,0.11079229711065369,0.25538909093891266,0.2215353952441611,0.1231752151315799,53231.86089955553
cube215_cluster0,17,State 17,349.44874925829436,63,Pre-COVID,0.5396825396825397,6,THEFT,2019.5873015873017,0.09484213648507182,0.08595717739964492,0.09040530009315836,0.03989481251108286,104186.03265714215
cube78_cluster0,9,State 09,346.5572901696969,46,Pre-COVID,0.7608695652173914,19,BATTERY,2018.891304347826,0.18767986694851366,0.2594786618796688,0.2235353703136763,0.13427255846236638,46296.61707477142
cube163_cluster0,17,State 17,343.86796731780754,59,Post-COVID,0.9152542372881356,72,THEFT,2022.3050847457628,0.08468575513671545,0.14164679848803233,0.12994026794186547,0.07032589808220213,85791.0622191248
cube190_cluster0,17,State 17,342.15350553359445,58,Post-COVID,0.5172413793103449,13,THEFT,2021.2241379310344,0.09118928802105195,0.12443125763454747,0.13522975932041262,0.06206477263539443,83313.81688383436
cube213_cluster0,1,State 01,329.559678300828,61,Pre-COVID,0.6721311475409836,8,THEFT,2019.4262295081967,0.11197975793296942,0.08420824777102387,0.0978815903317285,0.04005418356888957,99282.32074018699
cube76_cluster0,9,State 09,328.8677773344278,47,Pre-COVID,0.7446808510638298,42,BATTERY,2018.9574468085107,0.2260706543405583,0.24228129840399898,0.24159720385313663,0.14207647349370464,44436.25151062551
cube204_cluster0,17,State 17,325.91769612678894,54,Post-COVID,0.37037037037037035,6,THEFT,2020.6851851851852,0.08635750806454562,0.11625053755208335,0.11594455001335975,0.05586592332573486,93832.34898514347
