index,Community,YMonth,Year,Month,Period,ASSAULT,BATTERY,BURGLARY,CRIMINAL DAMAGE,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,MOTOR VEHICLE THEFT,NARCOTICS,OTHER CRIMES,OTHER OFFENSE,PUBLIC ORDER,ROBBERY,SEXUAL CRIMES,THEFT,WEAPONS VIOLATION,dominantCrime,dominantCrimeShare,arrestRate,domesticRate,acs_year,sample_idx,date,state_id,state_weight
0,1,201801,2018,01,Pre-COVID,0.07746478873239436,0.176056338028169,0.03169014084507042,0.12323943661971831,0.04225352112676056,0.07746478873239436,0.017605633802816902,0.02112676056338028,0.017605633802816902,0.06338028169014084,0.007042253521126761,0.06338028169014084,0.017605633802816902,0.2535211267605634,0.01056338028169014,THEFT,0.2535211267605634,0.1795774647887324,0.1795774647887324,2019,0,2018-01-01,6,1.0
1,1,201802,2018,02,Pre-COVID,0.099601593625498,0.250996015936255,0.027888446215139442,0.1394422310756972,0.0398406374501992,0.055776892430278883,0.01593625498007968,0.00796812749003984,0.00796812749003984,0.05179282868525897,0.00796812749003984,0.0398406374501992,0.03187250996015936,0.21115537848605578,0.01195219123505976,BATTERY,0.250996015936255,0.21115537848605578,0.1752988047808765,2019,1,2018-02-01,16,1.0
2,1,201803,2018,03,Pre-COVID,0.09235668789808917,0.18471337579617833,0.041401273885350316,0.12738853503184713,0.06050955414012739,0.06687898089171974,0.025477707006369428,0.009554140127388535,0.009554140127388535,0.05732484076433121,0.0,0.04777070063694268,0.012738853503184714,0.25477707006369427,0.009554140127388535,THEFT,0.25477707006369427,0.1624203821656051,0.1624203821656051,2019,2,2018-03-01,0,0.5
2,1,201803,2018,03,Pre-COVID,0.09235668789808917,0.18471337579617833,0.041401273885350316,0.12738853503184713,0.06050955414012739,0.06687898089171974,0.025477707006369428,0.009554140127388535,0.009554140127388535,0.05732484076433121,0.0,0.04777070063694268,0.012738853503184714,0.25477707006369427,0.009554140127388535,THEFT,0.25477707006369427,0.1624203821656051,0.1624203821656051,2019,2,2018-03-01,2,0.5
3,1,201804,2018,04,Pre-COVID,0.08745247148288973,0.19391634980988592,0.04182509505703422,0.07984790874524715,0.03802281368821293,0.08365019011406843,0.015209125475285171,0.026615969581749048,0.026615969581749048,0.049429657794676805,0.019011406844106463,0.04182509505703422,0.019011406844106463,0.2737642585551331,0.0038022813688212928,THEFT,0.2737642585551331,0.18631178707224336,0.1634980988593156,2019,3,2018-04-01,6,1.0
4,1,201805,2018,05,Pre-COVID,0.05787781350482315,0.1832797427652733,0.04180064308681672,0.14469453376205788,0.01607717041800643,0.06752411575562701,0.03536977491961415,0.006430868167202572,0.003215434083601286,0.06109324758842444,0.003215434083601286,0.02572347266881029,0.01929260450160772,0.3215434083601286,0.012861736334405145,THEFT,0.3215434083601286,0.12540192926045016,0.1382636655948553,2019,4,2018-05-01,0,0.5
4,1,201805,2018,05,Pre-COVID,0.05787781350482315,0.1832797427652733,0.04180064308681672,0.14469453376205788,0.01607717041800643,0.06752411575562701,0.03536977491961415,0.006430868167202572,0.003215434083601286,0.06109324758842444,0.003215434083601286,0.02572347266881029,0.01929260450160772,0.3215434083601286,0.012861736334405145,THEFT,0.3215434083601286,0.12540192926045016,0.1382636655948553,2019,4,2018-05-01,2,0.5
5,1,201806,2018,06,Pre-COVID,0.07848837209302326,0.17732558139534885,0.06395348837209303,0.10465116279069768,0.0436046511627907,0.06686046511627906,0.00872093023255814,0.023255813953488372,0.00872093023255814,0.06395348837209303,0.02616279069767442,0.029069767441860465,0.020348837209302327,0.27906976744186046,0.005813953488372093,THEFT,0.27906976744186046,0.16569767441860464,0.17732558139534885,2019,5,2018-06-01,6,1.0
6,1,201807,2018,07,Pre-COVID,0.085,0.2075,0.0425,0.105,0.0475,0.05,0.0275,0.0225,0.0075,0.05,0.0075,0.035,0.0075,0.2975,0.0075,THEFT,0.2975,0.1825,0.1275,2019,6,2018-07-01,6,1.0
7,1,201808,2018,08,Pre-COVID,0.039603960396039604,0.16584158415841585,0.06435643564356436,0.12623762376237624,0.034653465346534656,0.06930693069306931,0.03712871287128713,0.03217821782178218,0.0049504950495049506,0.04207920792079208,0.0049504950495049506,0.03712871287128713,0.019801980198019802,0.3118811881188119,0.009900990099009901,THEFT,0.3118811881188119,0.16336633663366337,0.14603960396039603,2019,7,2018-08-01,6,1.0
