Community,jsd_pre_covid,jsd_covid_post,jsd_pre_post,shift_type
1,0.06977205087174697,0.07857248253735462,0.08438114426735278,Low change
10,0.1288106079896535,0.0717201472668824,0.08596394320959788,Temporary disruption
11,0.0875994271214526,0.07182636917829019,0.05882541160818448,Low change
12,0.13171610587471083,0.07933366844950962,0.0912345011308713,Temporary disruption
13,0.09225738742458846,0.07244342832731986,0.07736948859553297,Low change
14,0.05183794835671855,0.05257081660869538,0.061090402908664534,Low change
15,0.04640005273486667,0.08822465242173791,0.08432850885397915,Low change
16,0.07016477864629692,0.07902865536347027,0.08173285702376291,Low change
17,0.09209703230786336,0.06883276309792011,0.1255151275191461,Low change
18,0.09007450597409465,0.13300188147739292,0.13638543107437442,Low change
19,0.08454306211973146,0.08784422819408584,0.10484941970521196,Low change
2,0.06341811524229095,0.075451187292709,0.09698690684158703,Low change
20,0.054654933129439746,0.11963340920473718,0.12881892191317226,Low change
21,0.044788220382410975,0.0746046470942782,0.07429456984130162,Low change
22,0.05052723297514905,0.10666915652868746,0.1076094585855659,Low change
23,0.0930276581605478,0.10253862307087934,0.15585846565797087,Delayed shift
24,0.06683749877573059,0.06573365446734813,0.11666324055501545,Low change
25,0.09803996556529679,0.08328158810590386,0.12498142881969379,Low change
26,0.11325615256461483,0.07637107118153726,0.15662180148311938,Persistent shift
27,0.07664343148042996,0.10875961684461909,0.1460510326631799,Low change
28,0.08765355578915726,0.05801751089718099,0.1056745843173181,Low change
29,0.14066846553449552,0.07133527896613008,0.1817475241915202,Persistent shift
3,0.051587079587298613,0.08225400614879233,0.08921466285668672,Low change
30,0.1127118833396607,0.05979813753967927,0.1244946092569087,Temporary disruption
31,0.06656673169690946,0.07570804310329245,0.11389339617458497,Low change
32,0.1660584779047532,0.06904098987706862,0.14933769897098767,Persistent shift
33,0.1198351344999643,0.08647504404943981,0.16365638834748183,Persistent shift
34,0.11866191151814229,0.058270253151061685,0.12204066586005151,Temporary disruption
35,0.10139522557709078,0.13079128358697067,0.17924443930457035,Delayed shift
36,0.07437078546516313,0.17627145619914092,0.19216176742916424,Delayed shift
37,0.13452027034094732,0.11154957869182278,0.16521271318302536,Persistent shift
38,0.10313090340738193,0.11804953610849638,0.17067171941289122,Persistent shift
39,0.07997760416765726,0.11268164924633006,0.14116150151828405,Low change
4,0.060757300490345466,0.06747360886263029,0.06482286879287875,Low change
40,0.09691616872148633,0.11281540052469126,0.16601722324257576,Delayed shift
41,0.06289390292696204,0.1158208803898124,0.140280882506925,Low change
42,0.09820921016347829,0.11235461174641646,0.17443276203784974,Delayed shift
43,0.09737801261159766,0.12125693052448373,0.16928431964093524,Delayed shift
44,0.09327378641282709,0.10485347109127388,0.16420615373927164,Delayed shift
45,0.09599543485392094,0.11777272084367624,0.16182680854088716,Delayed shift
46,0.09987726701233646,0.10559173354847129,0.15878646657981157,Delayed shift
47,0.1697229371212786,0.15268245378092893,0.21605973395430003,Persistent shift
48,0.11396337413688543,0.12702632384227178,0.17854301215692947,Persistent shift
49,0.10313299486973394,0.10711365372682614,0.1618244228568349,Persistent shift
5,0.07757292836170712,0.1006571468251599,0.09299459254974919,Low change
50,0.1119602703649271,0.09413981034306128,0.1472809307863493,Temporary disruption
51,0.11913704157892627,0.11984203031958722,0.17440670889242565,Persistent shift
52,0.11305876053394179,0.09427024091937114,0.11264763720714192,Temporary disruption
53,0.10160001465014362,0.12533699659197042,0.15044829027049778,Delayed shift
54,0.10015351103717303,0.0919546928887769,0.14870546225979833,Delayed shift
55,0.11106269362122012,0.1012831234532307,0.15973768488211038,Persistent shift
56,0.12221041661177665,0.11391639442761704,0.14156312570309415,Temporary disruption
57,0.12967759879319835,0.05676299857801233,0.1471647073474457,Temporary disruption
58,0.07997905087376328,0.09591670202566392,0.11665215007824743,Low change
59,0.12694292803435298,0.11710897526371356,0.1158691648771341,Temporary disruption
6,0.06103267501183523,0.05672374436587009,0.08233458596771909,Low change
60,0.08755390311857507,0.0986951719848394,0.11197728421860302,Low change
61,0.09983688728645908,0.08445740658735253,0.14216973538262093,Low change
62,0.11670920060060476,0.09172292696159133,0.1508349812923723,Persistent shift
63,0.08841631725514008,0.08084113642024204,0.1114141406872936,Low change
64,0.09951744730841874,0.12350071362317985,0.12595999001824873,Low change
65,0.10437815543525371,0.11501159012284402,0.12517054010131892,Temporary disruption
66,0.08176239364260782,0.07634518589504066,0.10701240421955077,Low change
67,0.08998056316735015,0.07228795552987659,0.12684550329836905,Low change
68,0.09069222062459179,0.09285155623670902,0.14330302284903662,Low change
69,0.09654960020646709,0.09327320906289453,0.154411133638613,Delayed shift
7,0.09865012826758082,0.0743482410095781,0.09867780803956867,Low change
70,0.08433414192127862,0.11131127912140217,0.12262104300050221,Low change
71,0.09732961986093801,0.09673120197667177,0.15239268011401708,Delayed shift
72,0.11562533947856864,0.11052194645581057,0.13891202401765773,Temporary disruption
73,0.10142233276082173,0.13521137392266194,0.16519644662442964,Delayed shift
74,0.16715815734337822,0.1376717471642995,0.10465417893972534,Temporary disruption
75,0.1026095661400344,0.11501345898111474,0.130044994112158,Low change
76,0.09596890869476966,0.06350850001023682,0.10176233683324873,Low change
77,0.0448150073315406,0.09064634874816359,0.08858091276941402,Low change
8,0.13754758572840528,0.07350545925075376,0.10894462073649981,Temporary disruption
9,0.13526427323764828,0.09968703385168169,0.13850709337471995,Temporary disruption
