state_id,lag_months,mean_correlation,sd_correlation,n_communities,n_start_points
1,1,0.3889054296793871,0.24266170020807618,27.0,242.0
1,2,0.31527113293532966,0.21482456619182422,27.0,240.0
1,3,0.3143219395924813,0.21769844197499771,27.0,239.0
1,4,0.3054539335020557,0.2096082407237157,27.0,238.0
1,5,0.3325046939890571,0.20154363713445664,27.0,238.0
1,6,0.3073390294031398,0.19865947531848632,27.0,238.0
1,7,0.2737374691359618,0.18473195954316116,27.0,238.0
1,8,0.2681860714458242,0.18420440972625146,27.0,238.0
1,9,0.25877173816884985,0.18501309484377648,27.0,238.0
1,10,0.2911143903941335,0.18866956765054083,27.0,238.0
1,11,0.2413229136830745,0.16738580338454886,27.0,237.0
1,12,0.2447684161377575,0.1584557755507545,27.0,236.0
1,13,0.21230337986416364,0.143526540672312,27.0,235.0
1,14,0.1903945221376096,0.14041642875606464,27.0,234.0
1,15,0.21381399594598177,0.12940199329804702,27.0,233.0
1,16,0.16620363181295172,0.12013631857058175,27.0,232.0
1,17,0.17212092511839208,0.12557770352025982,27.0,231.0
1,18,0.15311209096479372,0.10235031362537478,27.0,229.0
1,19,0.17013475836733652,0.11226304911708324,27.0,227.0
1,20,0.15456890787237887,0.1234119588752669,27.0,226.0
1,21,0.12954332619169118,0.10053994316658649,27.0,223.0
1,22,0.12634665996736483,0.10060773294658502,27.0,221.0
1,23,0.0890445374425756,0.07397193764575499,27.0,218.0
1,24,0.12134029909340181,0.13117028355309107,27.0,217.0
1,25,0.09410450435042839,0.09683465656174399,27.0,216.0
1,26,0.06160007276150137,0.08801596377530789,27.0,213.0
1,27,0.07361251487426898,0.11639874961622969,27.0,211.0
1,28,0.0919428081379703,0.13818044752384018,27.0,211.0
1,29,0.0659393797185699,0.09872494945146704,27.0,209.0
1,30,0.06711795465935719,0.10074612988795877,27.0,206.0
1,31,0.04871162819636659,0.056456684685238484,27.0,205.0
1,32,0.05227599449742467,0.07105878028016706,27.0,204.0
1,33,0.06489937871115438,0.1487141507135542,27.0,202.0
1,34,0.06351528795563118,0.10845185322927872,27.0,201.0
1,35,0.05021823103239748,0.06806576086243726,27.0,198.0
1,36,0.04364481609119388,0.09914080696512621,27.0,194.0
2,1,0.1255890384287022,0.10996363923703739,45.0,283.0
2,2,0.118181683715392,0.10689214983150543,45.0,283.0
2,3,0.10569294784638524,0.12144640557598099,45.0,281.0
2,4,0.05674397721372432,0.07299904579371173,45.0,281.0
2,5,0.09625600530773328,0.10218751785308022,45.0,281.0
2,6,0.11656322440462338,0.09594938974823397,45.0,281.0
2,7,0.09665210309232812,0.08581726403740397,45.0,279.0
2,8,0.08102534875487337,0.08860653197598707,45.0,275.0
2,9,0.08625322823218655,0.07922926942324232,45.0,274.0
2,10,0.08248050537362635,0.07771441547443804,45.0,273.0
2,11,0.08286504188968964,0.07828786019534481,45.0,271.0
2,12,0.08649081528866365,0.09221433498935684,45.0,271.0
2,13,0.0904143899189336,0.08388241276929417,45.0,270.0
2,14,0.10510653860322226,0.09722675629411716,45.0,269.0
2,15,0.10309945244204563,0.12771464035433536,45.0,268.0
2,16,0.0727994432054128,0.08358950401729552,45.0,266.0
2,17,0.07264429196072866,0.0806184209287638,45.0,263.0
2,18,0.05035406870372757,0.05812619010058116,45.0,260.0
2,19,0.08418242567417492,0.11055913438110695,45.0,250.0
2,20,0.08407869116199962,0.16528384342507713,45.0,247.0
2,21,0.07711849585358047,0.07877727335860683,44.0,242.0
2,22,0.09431661493779207,0.08521778470179202,44.0,242.0
2,23,0.07947276297026024,0.09064327218490717,43.0,239.0
2,24,0.07786533894142589,0.08226568421928936,43.0,237.0
2,25,0.061839407578912035,0.09868047040588279,42.0,232.0
2,26,0.0870014385692408,0.10474589302924588,42.0,228.0
2,27,0.03831085351445151,0.046837868708545526,42.0,223.0
2,28,0.06941893156664815,0.07964566273882054,42.0,216.0
2,29,0.052499547941653915,0.06014825507870669,42.0,214.0
2,30,0.058961389662881024,0.08297250302509522,41.0,210.0
2,31,0.053813101763615104,0.061182416594091474,41.0,206.0
2,32,0.0902103455939249,0.10108051142416755,41.0,198.0
2,33,0.09052569535297354,0.09880653644189043,41.0,191.0
2,34,0.09531176006106423,0.12062292687876336,41.0,186.0
2,35,0.07404448908603856,0.0881352753418807,41.0,184.0
2,36,0.0704128764260394,0.08393806901361828,41.0,179.0
3,1,0.1573255509525438,0.14292859888711135,34.0,167.0
3,2,0.09219335141385411,0.09280067195951877,34.0,166.0
3,3,0.11418858759767851,0.10665773162658658,34.0,165.0
3,4,0.12634460742933348,0.12400273213553616,34.0,163.0
3,5,0.09599938417404685,0.10345669682920498,34.0,161.0
3,6,0.07997243453062418,0.09624046959977617,34.0,160.0
3,7,0.07424108037315584,0.10368846242889186,34.0,159.0
3,8,0.09302195005490509,0.09383276520988025,34.0,158.0
3,9,0.075303302466764,0.08787556245315577,34.0,156.0
3,10,0.10683487906235403,0.09634594154868407,34.0,155.0
3,11,0.10350270645277361,0.11916625324894928,34.0,154.0
3,12,0.08324422908782514,0.0986537836796849,34.0,154.0
3,13,0.07638745913488412,0.10981542408841784,34.0,154.0
3,14,0.08699363748065048,0.10902143879977987,34.0,154.0
3,15,0.057087888697084095,0.08357829356798076,34.0,153.0
3,16,0.025391513665092107,0.039016550015851796,34.0,151.0
3,17,0.061520908361917384,0.08870849300933517,34.0,149.0
3,18,0.04337881441153784,0.05348123723366103,34.0,147.0
3,19,0.03311965811965812,0.1090177457635839,34.0,144.0
3,20,0.04846434855363427,0.09492561278726973,33.0,140.0
3,21,0.07569694630296792,0.1385268865767139,33.0,134.0
3,22,0.07040092312638732,0.1298579018410794,32.0,130.0
3,23,0.0984410037423885,0.14617390595720914,32.0,127.0
3,24,0.03843361566062716,0.07896587899776435,32.0,126.0
3,25,0.03651659451659451,0.07711661708338761,32.0,125.0
3,26,0.01740909090909091,0.17807026000136722,32.0,125.0
3,27,0.054539101062327046,0.14822979621849525,31.0,121.0
3,28,0.027420295465298387,0.0998313524440403,31.0,118.0
3,29,0.01985068072024594,0.10669178663897487,31.0,115.0
3,30,0.022955226591590227,0.031218524704126026,30.0,110.0
3,31,0.03279767440573067,0.04603504500180419,30.0,102.0
3,32,0.02359189723320158,0.04283099554561432,30.0,96.0
3,33,0.01266464032421479,0.04880835568041629,30.0,94.0
3,34,0.015059727606986584,0.019299816325765565,30.0,92.0
3,35,0.013565891472868215,0.09522441062056093,30.0,86.0
3,36,0.018574297188755022,0.10815598510330067,30.0,83.0
4,1,0.08442614755585554,0.10697587389229128,36.0,128.0
4,2,0.07389204991087343,0.07091406689928931,36.0,125.0
4,3,0.04309456040480709,0.0554351319971906,36.0,124.0
4,4,0.07778038032162853,0.09966075724008494,36.0,123.0
4,5,0.053121092234302995,0.1688022885741666,36.0,123.0
4,6,0.0647631575070615,0.14036087565247576,36.0,121.0
4,7,0.08143789020310317,0.0907555957206407,35.0,116.0
4,8,0.07765507518796992,0.10096867279033232,34.0,114.0
4,9,0.06315238658504913,0.08058258203506878,34.0,111.0
4,10,0.04397201681890677,0.0746456656659435,34.0,110.0
4,11,0.057222434428316774,0.08317674891610652,33.0,105.0
4,12,0.04498968684823948,0.06679401388253557,32.0,104.0
4,13,0.07241608282898171,0.07779243034471753,31.0,101.0
4,14,0.016184573002754818,0.027026849013307243,30.0,99.0
4,15,0.08003201991023683,0.10216363995633426,29.0,96.0
4,16,0.04305950126262626,0.08255703175556683,29.0,96.0
4,17,0.07334095952724276,0.1328805598251058,29.0,94.0
4,18,0.057672493475424094,0.0843182765037448,29.0,88.0
4,19,0.06217866954474097,0.08105881400280636,29.0,84.0
4,20,0.07367261252803421,0.07571927682733336,29.0,83.0
4,21,0.019984567901234568,0.1854687801526986,29.0,81.0
4,22,0.060737476808905386,0.08968421975747226,28.0,77.0
4,23,0.04581284943127048,0.07974762169837381,28.0,76.0
4,24,0.06346764346764347,0.11376293689919853,28.0,70.0
4,25,0.0390625,0.10904416511755914,27.0,64.0
4,26,0.03899204244031831,0.11803272884947662,26.0,58.0
4,27,0.014285714285714287,0.04,25.0,56.0
4,28,0.007352941176470588,0.02551551815399145,24.0,51.0
4,29,0.0,0.0,24.0,48.0
4,30,0.03571428571428571,0.11414935900345277,24.0,47.0
4,31,0.0,0.0,22.0,42.0
4,32,0.03968253968253968,0.13278431338706345,22.0,42.0
4,33,0.04504504504504504,0.12807074764409085,21.0,37.0
4,34,0.02857142857142857,0.21821789023599242,21.0,35.0
4,35,0.009523809523809523,0.07273929674533082,21.0,35.0
4,36,0.03611111111111111,0.09078523593805042,20.0,30.0
5,1,0.3200075685217019,0.19603314957233228,50.0,447.0
5,2,0.29031194866690146,0.20343331139649556,50.0,425.0
5,3,0.32025824652859347,0.23425403028076494,50.0,407.0
5,4,0.2810157192901971,0.17363992802887282,48.0,391.0
5,5,0.31966128043147835,0.22854720188576316,48.0,376.0
5,6,0.28655918400126434,0.2280630388833719,48.0,361.0
5,7,0.2934986260919822,0.22423359026730008,47.0,347.0
5,8,0.3090539507035289,0.23355700114058803,46.0,332.0
5,9,0.2742690181999649,0.20166137499406575,45.0,317.0
5,10,0.3103262580411115,0.2027049990972031,44.0,302.0
5,11,0.3243328173796857,0.263704206775964,44.0,288.0
5,12,0.32491675794702946,0.21283343599043705,43.0,266.0
5,13,0.2921641681311166,0.20561789616955267,42.0,252.0
5,14,0.32266331932308995,0.266276972259148,41.0,235.0
5,15,0.28927693326434595,0.22029853177837605,40.0,224.0
5,16,0.3033454825390838,0.22119598839400795,39.0,214.0
5,17,0.2637157172502389,0.20583947141411227,39.0,201.0
5,18,0.2930061401782059,0.24156928704631916,39.0,188.0
5,19,0.2771811462852554,0.272164028632062,39.0,180.0
5,20,0.3099993118020155,0.2832434646865915,39.0,175.0
5,21,0.3367972286359247,0.2741238360318603,39.0,169.0
