state_id,state_label,n_nodes,total_node_samples,mean_density,max_density,period_mode,mean_period_purity,mean_year,mean_arrest_rate,mean_domestic_rate,mean_poverty_rate,mean_unemployment_rate,mean_income
0,Unstable,46,2317,316.880443541912,663.281732093709,COVID,0.6021432244370576,2020.578832844954,0.13245897624344885,0.20626258213271892,0.18828862845503186,0.10185026605481486,62986.45000766985
1,State 01,7,368,267.6075329685514,329.559678300828,Pre-COVID,0.6644978806967256,2019.3823535422962,0.12859969450957515,0.10504125177001451,0.10553017370499693,0.04407024217107824,92782.62952975386
2,State 02,7,433,383.4842181122266,437.79966247419435,Pre-COVID,0.45931657993527847,2019.9228155768594,0.11983008132069559,0.16822580219560357,0.14106714881564578,0.06461373244920664,73570.58075457331
3,State 03,7,224,229.58451640384328,257.4838203186334,COVID,0.5479625344229807,2020.5608020945297,0.16998061779875703,0.27852988832506964,0.25959935121002575,0.14657017849892795,44972.769155751994
4,State 04,3,162,345.23519163594455,375.8023116838349,Post-COVID,0.5287771330324521,2021.447023425747,0.1070015281968395,0.24680657418611032,0.22579575416285194,0.13048636208531747,52987.2815146311
5,State 05,14,740,303.21638608900656,411.0396473197608,Post-COVID,0.7382106977507863,2021.9696398775027,0.08521140024196554,0.17655350623841962,0.16420050131970484,0.0857782129707076,73703.25844210142
6,State 06,15,482,177.00384256443294,297.42836607721193,Pre-COVID,0.6453857486225247,2019.3897816266035,0.18337126810315899,0.17146055984003197,0.14565504445465557,0.0714753999400947,67304.79402655236
7,State 07,9,431,312.9609101217126,418.98681092749877,COVID,0.5054347651798872,2019.7974499528677,0.1470120332636875,0.2294066827372202,0.18465715340304725,0.10263128955657058,57450.656083512615
8,State 08,12,607,331.06998696071093,546.6091687727564,Post-COVID,0.8014768334365568,2022.2507770147647,0.11126651561497829,0.2540127386154972,0.26611855320636907,0.14656292114371294,48561.90554894786
9,State 09,25,1145,341.17800803108605,686.888363726489,Pre-COVID,0.7031667609105476,2019.296411458911,0.22076391204184925,0.26138185243370066,0.25301269296702555,0.1463304762757066,43665.5624164966
10,State 10,4,157,272.2614506203375,323.6693229511445,COVID,0.5355275443510737,2019.9365312791783,0.14985036919906072,0.247358472506915,0.21536768255981673,0.11600268253319941,51413.86822159365
11,State 11,2,203,608.4544069551594,765.4285331170712,Pre-COVID,0.5919666374012291,2019.5765474100087,0.3135630166228026,0.2496902174708181,0.3153317646404551,0.16995425787874185,36143.493409237795
12,State 12,12,283,129.08783010648736,206.94379123019945,Post-COVID,0.6759876618068469,2021.6703404119617,0.06186437966536932,0.09563452643706871,0.1174340483320816,0.05431862061599344,100095.5252647455
13,State 13,3,214,419.09318851995914,489.1657167497838,Post-COVID,0.9027685213706328,2022.443385324783,0.08650396762307899,0.19803438821579378,0.22491762841404747,0.12426733695654059,56491.88990206157
14,State 14,15,649,311.03811445312635,427.466985252023,COVID,0.5735206868534396,2021.1408549208345,0.14711910782109697,0.2805002355035095,0.263565943184551,0.14854353129368356,45243.95885492125
15,State 15,4,195,318.0259844264678,349.4504221306586,COVID,0.5546350095982449,2020.7879387769094,0.11726375677342542,0.2442735138033627,0.2076213518089924,0.1184899864679834,54695.3000450924
16,State 16,9,400,274.74747446835386,366.74963808596294,Pre-COVID,0.6504888372148434,2019.3421803729466,0.17381682808893306,0.2073666585150026,0.1732590896974998,0.09519953073776705,59298.54609346928
17,State 17,20,1228,355.23243051168345,477.42649832943863,Pre-COVID,0.49339234883837657,2020.5568150336835,0.09496254286417402,0.11615376194901306,0.11614682802876417,0.054171512102543715,92908.32771558393
18,State 18,11,623,343.37552660255204,395.4896308937983,COVID,0.48597343371056295,2020.600134394694,0.10322292085477319,0.17978209379600474,0.1423769272988789,0.07129292008036359,74105.21513433484
