Period,state_id,next_state_id,transition,n_transitions
COVID,0,0,0 -> 0,227
COVID,14,14,14 -> 14,62
COVID,17,0,17 -> 0,58
COVID,0,17,0 -> 17,56
COVID,17,17,17 -> 17,54
COVID,14,0,14 -> 0,51
COVID,0,18,0 -> 18,44
COVID,0,14,0 -> 14,42
COVID,18,0,18 -> 0,41
COVID,0,5,0 -> 5,40
COVID,9,9,9 -> 9,38
COVID,0,9,0 -> 9,33
COVID,7,0,7 -> 0,33
COVID,2,0,2 -> 0,32
COVID,0,2,0 -> 2,31
COVID,0,7,0 -> 7,31
COVID,9,0,9 -> 0,30
COVID,5,0,5 -> 0,29
COVID,14,3,14 -> 3,26
COVID,0,8,0 -> 8,21
COVID,3,0,3 -> 0,19
COVID,5,5,5 -> 5,19
COVID,8,0,8 -> 0,19
COVID,3,9,3 -> 9,18
COVID,3,14,3 -> 14,18
COVID,3,3,3 -> 3,17
COVID,9,14,9 -> 14,17
COVID,11,11,11 -> 11,17
COVID,0,6,0 -> 6,16
COVID,0,15,0 -> 15,16
COVID,15,0,15 -> 0,16
COVID,17,12,17 -> 12,16
COVID,18,18,18 -> 18,16
COVID,0,4,0 -> 4,15
COVID,6,0,6 -> 0,15
COVID,6,6,6 -> 6,15
COVID,16,0,16 -> 0,15
COVID,0,3,0 -> 3,14
COVID,2,17,2 -> 17,14
COVID,1,17,1 -> 17,13
COVID,12,17,12 -> 17,13
COVID,4,0,4 -> 0,12
COVID,10,0,10 -> 0,12
COVID,12,0,12 -> 0,12
COVID,12,12,12 -> 12,12
COVID,0,1,0 -> 1,11
COVID,0,16,0 -> 16,11
COVID,0,12,0 -> 12,10
COVID,9,3,9 -> 3,10
COVID,17,1,17 -> 1,10
COVID,17,2,17 -> 2,10
COVID,0,10,0 -> 10,9
COVID,1,0,1 -> 0,9
COVID,7,7,7 -> 7,9
COVID,11,0,11 -> 0,9
COVID,14,8,14 -> 8,9
COVID,0,11,0 -> 11,8
COVID,2,2,2 -> 2,8
COVID,8,8,8 -> 8,8
COVID,18,2,18 -> 2,8
COVID,1,1,1 -> 1,7
COVID,6,7,6 -> 7,7
COVID,7,18,7 -> 18,7
COVID,8,14,8 -> 14,7
COVID,7,14,7 -> 14,6
COVID,9,7,9 -> 7,6
COVID,1,12,1 -> 12,5
COVID,2,16,2 -> 16,5
COVID,2,18,2 -> 18,5
COVID,4,4,4 -> 4,5
COVID,4,14,4 -> 14,5
COVID,6,16,6 -> 16,5
COVID,6,17,6 -> 17,5
COVID,18,5,18 -> 5,5
COVID,2,5,2 -> 5,4
COVID,5,7,5 -> 7,4
COVID,5,18,5 -> 18,4
COVID,6,2,6 -> 2,4
COVID,9,11,9 -> 11,4
COVID,10,3,10 -> 3,4
COVID,11,9,11 -> 9,4
COVID,14,10,14 -> 10,4
COVID,15,7,15 -> 7,4
COVID,16,16,16 -> 16,4
COVID,16,18,16 -> 18,4
COVID,18,1,18 -> 1,4
COVID,1,2,1 -> 2,3
COVID,2,6,2 -> 6,3
COVID,4,5,4 -> 5,3
COVID,4,8,4 -> 8,3
COVID,5,4,5 -> 4,3
COVID,5,14,5 -> 14,3
COVID,5,15,5 -> 15,3
COVID,7,4,7 -> 4,3
COVID,7,10,7 -> 10,3
COVID,8,10,8 -> 10,3
COVID,9,10,9 -> 10,3
COVID,10,9,10 -> 9,3
COVID,10,14,10 -> 14,3
COVID,12,6,12 -> 6,3
COVID,13,0,13 -> 0,3
COVID,14,5,14 -> 5,3
COVID,15,5,15 -> 5,3
COVID,16,2,16 -> 2,3
COVID,17,5,17 -> 5,3
COVID,17,6,17 -> 6,3
COVID,17,18,17 -> 18,3
COVID,18,6,18 -> 6,3
COVID,18,7,18 -> 7,3
COVID,18,16,18 -> 16,3
COVID,18,17,18 -> 17,3
COVID,1,18,1 -> 18,2
COVID,2,7,2 -> 7,2
COVID,2,15,2 -> 15,2
COVID,3,8,3 -> 8,2
COVID,3,10,3 -> 10,2
COVID,4,3,4 -> 3,2
COVID,4,10,4 -> 10,2
COVID,5,2,5 -> 2,2
COVID,5,12,5 -> 12,2
COVID,5,13,5 -> 13,2
COVID,6,9,6 -> 9,2
COVID,6,12,6 -> 12,2
COVID,6,15,6 -> 15,2
COVID,7,2,7 -> 2,2
COVID,7,3,7 -> 3,2
COVID,7,5,7 -> 5,2
COVID,7,6,7 -> 6,2
COVID,7,15,7 -> 15,2
COVID,8,4,8 -> 4,2
COVID,8,5,8 -> 5,2
COVID,9,4,9 -> 4,2
COVID,9,5,9 -> 5,2
COVID,9,6,9 -> 6,2
COVID,9,8,9 -> 8,2
COVID,9,15,9 -> 15,2
COVID,10,4,10 -> 4,2
COVID,10,7,10 -> 7,2
COVID,10,10,10 -> 10,2
COVID,11,3,11 -> 3,2
COVID,12,2,12 -> 2,2
COVID,12,5,12 -> 5,2
COVID,14,2,14 -> 2,2
COVID,14,7,14 -> 7,2
COVID,14,9,14 -> 9,2
COVID,14,16,14 -> 16,2
COVID,15,2,15 -> 2,2
COVID,15,14,15 -> 14,2
COVID,16,3,16 -> 3,2
COVID,16,6,16 -> 6,2
COVID,16,7,16 -> 7,2
COVID,16,9,16 -> 9,2
COVID,16,17,16 -> 17,2
COVID,17,7,17 -> 7,2
COVID,18,14,18 -> 14,2
COVID,0,13,0 -> 13,1
COVID,1,5,1 -> 5,1
COVID,1,16,1 -> 16,1
COVID,2,1,2 -> 1,1
COVID,2,4,2 -> 4,1
COVID,2,12,2 -> 12,1
COVID,2,13,2 -> 13,1
COVID,2,14,2 -> 14,1
COVID,3,4,3 -> 4,1
COVID,3,11,3 -> 11,1
COVID,3,15,3 -> 15,1
COVID,3,18,3 -> 18,1
COVID,4,15,4 -> 15,1
COVID,4,17,4 -> 17,1
COVID,5,6,5 -> 6,1
COVID,5,8,5 -> 8,1
COVID,5,10,5 -> 10,1
COVID,5,16,5 -> 16,1
COVID,5,17,5 -> 17,1
COVID,6,1,6 -> 1,1
COVID,6,5,6 -> 5,1
COVID,6,8,6 -> 8,1
COVID,6,18,6 -> 18,1
COVID,7,9,7 -> 9,1
COVID,7,12,7 -> 12,1
COVID,7,16,7 -> 16,1
COVID,7,17,7 -> 17,1
COVID,8,12,8 -> 12,1
COVID,8,13,8 -> 13,1
COVID,8,16,8 -> 16,1
COVID,8,17,8 -> 17,1
COVID,8,18,8 -> 18,1
COVID,10,2,10 -> 2,1
COVID,10,5,10 -> 5,1
COVID,10,15,10 -> 15,1
COVID,10,18,10 -> 18,1
COVID,12,1,12 -> 1,1
